url,Course Title,Course Headline,Instructor,off_price,orig_price,Rating,Number of Ratings,Course Length,Number of Lectures,Difficulity,Subscribers
https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,Learn Ethical Hacking From Scratch,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,"Zaid Sabih, z Security",17.99,99.99,4.6,98625,15.5,143,All Levels,459448 
https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c02/,Ultimate AWS Certified Solutions Architect Associate 2021,Pass the AWS Certified Solutions Architect Associate Certification SAA-C02. Complete Amazon Web Services Cloud training!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",15.99,89.99,4.7,95400,27,368,All Levels,399272 
https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,[NEW] Ultimate AWS Certified Cloud Practitioner - 2021,"Pass the Amazon Web Services Certified Cloud Practitioner CLF-C01 exam, Practice Exams included with explanations!","Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",14.99,84.99,4.7,61370,14,252,Beginner,289608 
https://www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/,TOTAL: CompTIA A+ Certification (220-1001).,"Course 1: Everything you need to pass the A+ Certification Core 1 (220-1001) Exam, from Mike Meyers and Total Seminars.","Total Seminars • 750,000+ Enrollments, Mike Meyers",20.99,119.99,4.7,48413,17.5,131,Beginner,116933 
https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/,Ultimate AWS Certified Developer Associate 2021 - NEW!,Become an AWS Certified Developer! Learn all Amazon Web Services Developer topics. PASS the AWS Certified Developer Exam,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",14.99,89.99,4.7,47350,32.5,428,All Levels,252455 
https://www.udemy.com/course/az900-azure/,AZ-900: Microsoft Azure Fundamentals Exam Prep - MAY 2021,"Learn the fundamentals of Azure, and get certified, with this complete beginner's AZ-900 course, includes practice test!","Scott Duffy  • 550.000+ Students, Software Architect.ca",15.99,49.99,4.5,39080,5,67,Beginner,149409 
https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,The Complete Cyber Security Course : Hackers Exposed!,"Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking,  Learn IT Security &  INFOSEC",Nathan House,19.99,109.99,4.6,38225,12,124,All Levels,208148 
https://www.udemy.com/course/microsoft-azure-beginners-guide/,Microsoft Azure - Beginner's Guide + AZ-900 -  2021,Beginning your journey on Microsoft Azure,Alan Rodrigues,17.99,99.99,4.5,36744,15,201,Beginner,140171 
https://www.udemy.com/course/learn-kubernetes/,Kubernetes for the Absolute Beginners - Hands-on,"Learn Kubernetes in simple, easy and fun way with hands-on coding exercises. For beginners in DevOps.","Mumshad Mannambeth, KodeKloud Training",17.99,99.99,4.7,35485,5.5,56,Beginner,129898 
https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,The Complete Networking Fundamentals Course. Your CCNA start,Learn about networking and start your journey to Cisco 200-301 Certification.,David Bombal,14.99,19.99,4.6,31150,80,685,Beginner,140638 
https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/,Certified Kubernetes Administrator (CKA) with Practice Tests,Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA,"Mumshad Mannambeth, KodeKloud Training",17.99,99.99,4.7,31137,18.5,258,All Levels,130689 
https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,The Complete Oracle SQL Certification Course,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",Imtiaz Ahmad,17.99,99.99,4.6,29582,16.5,71,All Levels,112924 
https://www.udemy.com/course/learn-linux-in-5-days/,Learn Linux in 5 Days and Level Up Your Career,Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.,Jason Cannon,15.99,89.99,4.5,28997,13.5,83,All Levels,137977 
https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/,Blockchain and Bitcoin Fundamentals,Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,George Levy,17.99,94.99,4.6,28462,3,39,Beginner,87897 
https://www.udemy.com/course/learn-docker/,Docker for the Absolute Beginner - Hands On - DevOps,Learn Docker with Hands On Coding Exercises. For beginners in DevOps,"Mumshad Mannambeth, KodeKloud Training",17.99,99.99,4.7,28401,4.5,49,Beginner,115086 
https://www.udemy.com/course/penetration-testing/,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!","Ermin Kreponic, Aldin Omerdic",17.99,99.99,4.1,28341,25,113,All Levels,283820 
https://www.udemy.com/course/70534-azure/,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,"Scott Duffy  • 550.000+ Students, Software Architect.ca",14.99,69.99,4.5,25682,12.5,152,Intermediate,125263 
https://www.udemy.com/course/70533-azure/,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,"Scott Duffy  • 550.000+ Students, Software Architect.ca",14.99,39.99,4.6,25341,12.5,162,Intermediate,115539 
https://www.udemy.com/course/securityplus/,CompTIA Security+ (SY0-601) Complete Course & Exam,CompTIA Security+ (SY0-601) Bootcamp - Your preparation for the world's best cybersecurity certification!,"Jason Dion • 600,000+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",17.99,99.99,4.7,24998,21.5,274,All Levels,88847 
https://www.udemy.com/course/ccna-on-demand-video-boot-camp/,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Chris Bryant,14.99,19.99,4.7,24753,62.5,467,Beginner,103417 
https://www.udemy.com/course/comptia-network-cert-n10-007-the-total-course/,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.","Total Seminars • 750,000+ Enrollments, Mike Meyers",20.99,119.99,4.7,23694,23,172,All Levels,91811 
https://www.udemy.com/course/learn-ansible/,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,"Mumshad Mannambeth, KodeKloud Training",18.99,99.99,4.6,23527,2.5,32,Beginner,88675 
https://www.udemy.com/course/salesforce-administrator/,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",17.99,99.99,4.6,23006,32,380,All Levels,81866 
https://www.udemy.com/course/isms-awareness/,Information Security Awareness-ISO 27001:2013,Information Security Literate-Cyber security awareness course,infySEC Global,17.99,74.99,4.5,21512,1,39,All Levels,32908 
https://www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,The Absolute Beginners Guide to Cyber Security 2021 - Part 1,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Alexander Oni,21.99,99.99,4.6,20207,4,58,Beginner,49475 
